macro_id,macro,meso,micro,code,total_citations,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
1,Health Science,Genetics & Genomics,Mutation & Evolutionary Genetics,152,126771.00000000001,14983.57680622938,43350.06979924299,27845.124699154774,40592.22869537286,0.11819404127307805,0.34195572961673404,0.21964901041369692,0.320201218696491
1,Health Science,Genetics & Genomics,Organ Physiology,153,258585.0,69656.36718603039,51507.419105311645,72216.96222232375,65204.25148633422,0.26937512688682785,0.19918950869273797,0.279277460882587,0.25215790353784723
2,Social Science,Education & Learning Science,Learning & Performance Analytics,200,200153.0,38932.63070131625,22332.273204550747,36455.722094371806,102432.3739997612,0.1945143500288092,0.111576010374817,0.18213927392730464,0.5117703656690692
2,Social Science,Education & Learning Science,Teaching & Curriculum Design,201,191278.0,16960.48114443215,40917.15264086956,33704.737585601826,99695.62862909646,0.08866927270481785,0.21391457794869018,0.17620812422548243,0.5212080251210095
2,Social Science,Education & Learning Science,Learning Psychology & Motivation,202,187424.00000000003,20817.1299025126,29439.143676714604,45072.234037658905,92095.49238311392,0.11106971307043173,0.15707243296864115,0.2404827238649207,0.4913751300960064
2,Social Science,Education & Learning Science,Digital Learning Enhancement,203,133632.0,16019.942616392585,16742.224908591976,30123.0127789813,70746.81969603413,0.11988103610207575,0.12528604607124025,0.2254176602833251,0.5294152575433588
2,Social Science,Digital Media & Communication,Content Integrity & Safety,210,101567.0,14142.777729548516,18872.953105126788,18458.94693309162,50092.32223223308,0.13924579567722306,0.18581776664789534,0.1817415787912572,0.49319485888362435
2,Social Science,Digital Media & Communication,Social Media & Public Discourse,211,99729.00000000001,8683.50566495112,30160.9374012741,21160.068125000147,39724.48880877465,0.08707101911130283,0.30242895648481477,0.21217567733558088,0.39832434706830155
2,Social Science,Digital Media & Communication,Sentiment Mining & Analysis,212,141137.00000000006,36703.05164051638,16190.932300193354,15514.439707514708,72728.57635177561,0.2600526555085935,0.11471784365682526,0.10992468103696905,0.5153048197976121
2,Social Science,Digital Media & Communication,Dialogue & Conversational AI,213,105742.99999999999,14047.998460600764,29033.52215167386,18037.847031301666,44623.632356423695,0.1328503868870825,0.27456684746672466,0.17058194898292717,0.42200081666326567
