code,macro_id,macro,meso,micro,country,fractional_citations
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,HK,1279.248088023088
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SG,1263.973346098346
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IR,1099.3786898839137
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,DZ,949.6670236196553
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BR,944.2686516699675
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,FI,886.0851470188425
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CH,768.4629897879901
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,RU,767.4342409052934
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,TN,708.0127594627595
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PL,674.3083126099093
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NO,674.1164731374761
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NL,630.653942327082
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AE,614.5841630591633
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MX,609.6143717393718
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,VN,605.2038017538017
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MA,547.1126706626707
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PT,533.8304055593528
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IL,516.0424603174604
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,RO,500.1636363636364
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,TH,496.5880952380953
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ZA,395.89106024713635
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CZ,383.2571428571428
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PH,358.0305860805861
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BE,350.2576885019383
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SE,338.6938311688312
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,JO,335.2948162948163
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AT,327.868326118326
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NG,321.57936507936506
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,GR,313.22229437229436
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SI,295.1214859767098
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,NZ,292.03571428571433
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MO,267.57063652067853
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,QA,261.39166666666665
